V21,RISK
111, 0.100500000 
112, 0.087500000 
120, 0.266244444 
131, 0.091600000 
132, 0.114500000 
133, 0.021208333 
134, 0.250000000 
135, 0.035000000 
139, 0.013500000 
141, 0.260166667 
149, 0.047000000 
151, 0.397500000 
152, 0.112233333 
153, 0.355000000 
159, 0.141666667 
211, 0.130972222 
212, 0.165688889 
213, 0.647296111 
221, 0.073750000 
222, 0.158343750 
223, 0.405000000 
224, 0.720000000 
231, 0.215902500 
232, 0.128500000 
233, 0.195000000 
234, 0.307250000 
235, 0.254291667 
236, 0.326453333 
237, 0.266666667 
239, 0.141587143 
241, 0.044740000 
242, 0.012000000 
243, 0.009000000 
244, 0.003900000 
245, 0.367044127 
246, 0.418601190 
247, 0.155510417 
248, 0.016550000 
251, 0.032000000 
252, 0.035616667 
253, 0.078700000 
254, 0.096516667 
259, 0.198733333 
261, 0.258125000 
262, 0.230000000 
271, 0.641716667 
272, 0.468451389 
273, 0.243151429 
274, 0.527252778 
281, 0.231566667 
282, 0.451700000 
283, 0.513625000 
284, 0.042642857 
285, 0.060933333 
286, 0.276638333 
289, 0.555583333 
311, 0.641200000 
312, 0.884666667 
313, 0.855000000 
314, 0.923750000 
320, 0.838500000 
330, 0.800000000 
391, 0.878666667 
392, 0.537541667 
399, 0.797166667 
411, 0.199155556 
412, 0.841041667 
421, 0.453850000 
422, 0.379444444 
423, 0.259083333 
429, 0.408000000 
431, 0.379625000 
432, 0.545672917 
441, 0.548500000 
442, 0.856666667 
510, 0.599444444 
521, 0.799166667 
522, 0.970000000 
530, 0.890000000 
611, 0.612222222 
612, 0.670000000 
613, 0.750000000 
620, 0.792000000 
630, 0.730000000 
710, 0.749361111 
721, 0.548120000 
722, 0.757600000 
730, 0.785375000 
741, 0.837777778 
742, 0.777500000 
743, 0.775000000 
751, 0.645300000 
752, 0.517812500 
753, 0.601841346 
761, 0.551242063 
762, 0.215679487 
771, 0.713333333 
772, 0.681351852 
773, 0.750625000 
774, 0.662619048 
780, 0.583285714 
791, 0.613750000 
792, 0.485000000 
799, 0.673680556 
811, 0.816000000 
812, 0.816000000 
819, 0.816000000 
821, 0.965000000 
822, 0.863333333 
823, 0.710000000 
831, 0.843611111 
832, 0.886125000 
841, 0.880000000 
842, 0.880000000 
843, 0.842000000 
851, 0.897954545 
852, 0.890000000 
853, 0.360000000 
854, 0.805000000 
855, 0.805000000 
861, 0.614000000 
862, 0.922500000 
863, 0.922500000 
864, 0.922000000 
871, 0.676500000 
872, 0.563000000 
873, 0.528925000 
874, 0.566650000 
875, 0.817888889 
876, 0.725000000 
881, 0.596500000 
882, 0.596500000 
891, 0.870000000 
892, 0.910000000 
899, 0.951250000 
910, 0.691250000 
921, 0.514000000 
922, 0.878750000 
930, 0.596666667 
941, 0.689708333 
942, 0.783750000 
951, 0.447500000 
952, 0.862500000 
953, 0.534750000 
991, 0.860000000 
992, 0.869166667 
999, 0.906666667 
