"","JobGroup","RiskGroup","sum_Employment"
"1","1","1",260830.567
"2","1","2",42615.884
"3","2","1",4205603.623
"4","2","2",1260596.122
"5","2","3",7741.895
"6","3","2",630032.1
"7","3","3",3950320.049
"8","4","1",189487.141
"9","4","2",1929726.581
"10","4","3",728921.626
"11","5","2",675296.459
"12","5","3",2380819.924
"13","6","2",1135196.588
"14","6","3",130148.514
"15","7","1",201502.024
"16","7","2",1260485.957
"17","7","3",898338.104
"18","8","2",1288857.956
"19","8","3",1850888.246
"20","9","2",2135005.309
"21","9","3",1414306.375
"22",NA,NA,17120627.485
